Designator,Layer,Mid X,Mid Y,Rotation
R4,TOP,125.6447,93.4262,90
R40,TOP,56.642,114.046,0
R41,TOP,57.912,112.395,0
R42,TOP,43.815,121.666,90
R43,TOP,77.216,110.744,180
R44,TOP,87.757,97.155,90
R45,TOP,74.168,107.442,0
R46,TOP,74.168,109.093,180
R47,TOP,43.307,125.182,270
R48,TOP,114.935,108.585,0
R49,TOP,143.891,92.546,90
R5,TOP,116.93,35.052,180
R50,TOP,126.656,45.974,180
R51,TOP,63.119,91.948,90
R52,TOP,67.985,89.789,0
R53,TOP,70.7024,94.323,0
R55,BOT,57.023,62.267,90
R56,TOP,57.404,64.934,270
R57,TOP,51.562,84.074,0
R58,TOP,54.483,67.183,270
R59,TOP,56.007,88.265,0
R6,TOP,131.3133,89.6178,0
R60,BOT,38.481,61.124,90
R61,TOP,50.927,91.567,180
R62,TOP,57.404,56.552,90
R63,TOP,75.438,87.503,180
R64,TOP,54.61,53.467,270
R65,TOP,147.828,128.524,180
R66,TOP,125.5203,117.2865,90
R67,TOP,122.8013,118.3595,0
R68,TOP,119.761,123.063,0
R69,TOP,122.047,123.698,90
R7,TOP,120.777,89.789,270
R70,TOP,123.063,115.443,0
R71,TOP,123.19,116.967,180
R72,TOP,147.828,122.809,180
R73,TOP,147.828,116.967,180
R74,TOP,116.459,112.268,90
R75,TOP,110.109,112.268,0
R76,TOP,113.411,112.268,0
R77,TOP,116.459,117.348,270
R78,TOP,93.841,130.984,270
R79,TOP,95.492,130.984,90
R80,TOP,150.241,126.492,90
R81,TOP,150.241,120.5611,90
R82,TOP,150.241,114.808,90
R83,BOT,129.159,118.3654,90
R9,TOP,120.904,72.771,270
S1,TOP,109.347,131.064,0
T2,TOP,135.763,121.285,90
U1,TOP,75.565,92.4179,270
U10,TOP,62.992,57.1589,0
U11,TOP,98.91,90.805,0
U12,TOP,90.17,103.759,0
U13,TOP,103.302,109.973,90
U14,TOP,80.01,118.618,180
U15,TOP,52.324,88.9,180
U16,TOP,124.968,121.412,270
U17,TOP,111.379,117.2591,90
U2,TOP,36.207,108.457,270
U3,TOP,133.8379,97.692,270
U4,TOP,123.981,37.9529,0
U5,TOP,67.437,91.948,180
U6,TOP,54.991,117.602,0
U7,TOP,77.597,107.95,90
U8,TOP,96.664,121.709,0
U9,TOP,91.44,93.1211,90
X1,TOP,52.07,38.34,0
X2,TOP,101.687,38.34,0
X3,TOP,88.265,122.428,270
X4,TOP,19.97,114.32,270
X5,TOP,19.97,94,270
